"build","computer.platform","date","time","subject","blockcode","blocknum","trialcode","response","correct","consent","ProlificID","trialnum","trialcount","blockCount","blockorder","blockLabel","trialType","ruleStart","correctChoice","correctChoicePosition","responseSide","correctResponse","feedback","totalPoints","phaseCount","RTs","fixjit","submission"
"6.6.3","win","2025-01-08","10:18:58","66ba0c9bf26db3f44b274954","Consent","1","Consenttitle","","1","0","0","0","0","0","V/S","Volatile","","Circle","0","","","","0","0","0","0","0","0"
"6.6.3","win","2025-01-08","10:18:58","66ba0c9bf26db3f44b274954","Consent","1","consent_1option1","Agree","1","0","0","0","0","0","V/S","Volatile","","Circle","0","","","","0","0","0","0","0","0"
"6.6.3","win","2025-01-08","10:18:58","66ba0c9bf26db3f44b274954","Consent","1","consent_2option1","Agree","1","0","0","0","0","0","V/S","Volatile","","Circle","0","","","","0","0","0","0","0","0"
"6.6.3","win","2025-01-08","10:18:58","66ba0c9bf26db3f44b274954","Consent","1","consent_3option1","Agree","1","0","0","0","0","0","V/S","Volatile","","Circle","0","","","","0","0","0","0","0","0"
"6.6.3","win","2025-01-08","10:18:58","66ba0c9bf26db3f44b274954","Consent","1","consent_4option1","Agree","1","0","0","0","0","0","V/S","Volatile","","Circle","0","","","","0","0","0","0","0","0"
"6.6.3","win","2025-01-08","10:18:58","66ba0c9bf26db3f44b274954","Consent","1","consent_5option1","Agree","1","0","0","0","0","0","V/S","Volatile","","Circle","0","","","","0","0","0","0","0","0"
"6.6.3","win","2025-01-08","10:18:58","66ba0c9bf26db3f44b274954","Consent","1","consent_6option1","Agree","1","0","0","0","0","0","V/S","Volatile","","Circle","0","","","","0","0","0","0","0","0"
"6.6.3","win","2025-01-08","10:18:58","66ba0c9bf26db3f44b274954","Consent","1","consent_7option1","Agree","1","0","0","0","0","0","V/S","Volatile","","Circle","0","","","","0","0","0","0","0","0"
"6.6.3","win","2025-01-08","10:18:58","66ba0c9bf26db3f44b274954","Consent","1","consent_8option1","Agree","1","0","0","0","0","0","V/S","Volatile","","Circle","0","","","","0","0","0","0","0","0"
"6.6.3","win","2025-01-08","10:18:58","66ba0c9bf26db3f44b274954","Consent","1","consent_9option1","Agree","1","0","0","0","0","0","V/S","Volatile","","Circle","0","","","","0","0","0","0","0","0"
