"build","computer.platform","date","time","subject","blockcode","blocknum","trialcode","response","correct","consent","ProlificID","trialnum","trialcount","blockCount","blockorder","blockLabel","trialType","ruleStart","correctChoice","correctChoicePosition","responseSide","correctResponse","feedback","totalPoints","phaseCount","RTs","fixjit","submission"
"6.6.1","win","2024-12-06","11:29:09","5f3e8437fcbaca0b24f7e4e9","Consent","1","Consenttitle","","1","0","0","0","0","0","V/S","Volatile","","Triangle","0","","","","0","0","0","0","0","0"
"6.6.1","win","2024-12-06","11:29:09","5f3e8437fcbaca0b24f7e4e9","Consent","1","consent_1option1","Agree","1","0","0","0","0","0","V/S","Volatile","","Triangle","0","","","","0","0","0","0","0","0"
"6.6.1","win","2024-12-06","11:29:09","5f3e8437fcbaca0b24f7e4e9","Consent","1","consent_2option1","Agree","1","0","0","0","0","0","V/S","Volatile","","Triangle","0","","","","0","0","0","0","0","0"
"6.6.1","win","2024-12-06","11:29:09","5f3e8437fcbaca0b24f7e4e9","80_20_tri","4","fixation_congruent_feedback_triangle","0","0","0","0","1","0","0","V/S","Volatile","Congruent","Triangle","Triangle","Left","","","0","0","1","0","1875","0"
"6.6.1","win","2024-12-06","11:29:09","5f3e8437fcbaca0b24f7e4e9","80_20_tri","4","congruent_feedback_triangle","0","0","0","0","1","1","0","V/S","Volatile","Congruent","Triangle","Triangle","Left","NR","Incorrect","0","0","1","4000","1875","0"
"6.6.1","win","2024-12-06","11:29:09","5f3e8437fcbaca0b24f7e4e9","80_20_tri","4","punish_feedback","0","0","0","0","1","1","1","V/S","Volatile","Congruent","Triangle","Triangle","Left","NR","Incorrect","-1","-1","1","4000","1875","0"
"6.6.1","win","2024-12-06","11:29:09","5f3e8437fcbaca0b24f7e4e9","80_20_tri","4","fixation_congruent_feedback_triangle","0","0","0","0","2","1","1","V/S","Volatile","Congruent","Triangle","Triangle","Right","NR","Incorrect","0","-1","2","4000","1258","0"
"6.6.1","win","2024-12-06","11:29:09","5f3e8437fcbaca0b24f7e4e9","80_20_tri","4","congruent_feedback_triangle","18","0","0","0","2","2","1","V/S","Volatile","Congruent","Triangle","Triangle","Right","Left","Incorrect","0","-1","2","194","1258","0"
"6.6.1","win","2024-12-06","11:29:09","5f3e8437fcbaca0b24f7e4e9","80_20_tri","4","punish_feedback","0","0","0","0","2","2","2","V/S","Volatile","Congruent","Triangle","Triangle","Right","Left","Incorrect","-1","-2","2","194","1258","0"
"6.6.1","win","2024-12-06","11:29:09","5f3e8437fcbaca0b24f7e4e9","80_20_tri","4","fixation_congruent_feedback_triangle","0","0","0","0","3","2","2","V/S","Volatile","Congruent","Triangle","Triangle","Left","Left","Incorrect","0","-2","3","194","1214","0"
"6.6.1","win","2024-12-06","11:29:09","5f3e8437fcbaca0b24f7e4e9","80_20_tri","4","congruent_feedback_triangle","23","0","0","0","3","3","2","V/S","Volatile","Congruent","Triangle","Triangle","Left","Right","Incorrect","0","-2","3","286","1214","0"
"6.6.1","win","2024-12-06","11:29:09","5f3e8437fcbaca0b24f7e4e9","80_20_tri","4","punish_feedback","0","0","0","0","3","3","3","V/S","Volatile","Congruent","Triangle","Triangle","Left","Right","Incorrect","-1","-3","3","286","1214","0"
"6.6.1","win","2024-12-06","11:29:09","5f3e8437fcbaca0b24f7e4e9","80_20_tri","4","fixation_incongruent_feedback_triangle","0","0","0","0","4","3","3","V/S","Volatile","Incongruent","Triangle","Triangle","Right","Right","Incorrect","0","-3","4","286","1687","0"
"6.6.1","win","2024-12-06","11:29:09","5f3e8437fcbaca0b24f7e4e9","80_20_tri","4","incongruent_feedback_triangle","18","0","0","0","4","4","3","V/S","Volatile","Incongruent","Triangle","Triangle","Right","Left","Incorrect","0","-3","4","230","1687","0"
"6.6.1","win","2024-12-06","11:29:09","5f3e8437fcbaca0b24f7e4e9","80_20_tri","4","reward_feedback","0","0","0","0","4","4","4","V/S","Volatile","Incongruent","Triangle","Triangle","Right","Left","Incorrect","1","-2","4","230","1687","0"
"6.6.1","win","2024-12-06","11:29:09","5f3e8437fcbaca0b24f7e4e9","80_20_tri","4","fixation_congruent_feedback_triangle","0","0","0","0","5","4","4","V/S","Volatile","Congruent","Triangle","Triangle","Right","Left","Incorrect","0","-2","5","230","1329","0"
"6.6.1","win","2024-12-06","11:29:09","5f3e8437fcbaca0b24f7e4e9","80_20_tri","4","congruent_feedback_triangle","23","1","0","0","5","5","4","V/S","Volatile","Congruent","Triangle","Triangle","Right","Right","Correct","0","-2","5","238","1329","0"
"6.6.1","win","2024-12-06","11:29:09","5f3e8437fcbaca0b24f7e4e9","80_20_tri","4","reward_feedback","0","0","0","0","5","5","5","V/S","Volatile","Congruent","Triangle","Triangle","Right","Right","Correct","1","-1","5","238","1329","0"
