subject,block1_median,block2_median,block3_median,block4_median,AQ,EDAQ,intercept,II,dprime
65122,384,433.5,430,488,29,48,521.6260504,-1.159663866,4.205820825
66154,454,436,507,464,16,23,486.7815126,-0.289915966,3.671659889
66259,466.5,454,508,481,40,17,501.8739496,-0.340336134,4.026121184
66331,355.5,464,435.5,430.5,26,20,407.512605,0.584033613,3.506800521
66358,366,430.5,464,490,9,16,529.5336134,-1.109243697,2.774737528
66706,406,430,424,468,14,19,491.1764706,-0.823529412,2.369977098
66766,334,351,385,418,18,30,462.2352941,-1.264705882,2.148946218
46450700,419,429.5,429,490.5,27,32,528.394958,-1.283613445,2.891240639
167544105,454,526,459,508,16,25,491.7394958,0.096638655,3.759232365
370654194,317,339.5,369,453,18,22,525.8109244,-2.260504202,2.964107388
381916975,354,409.5,403.5,444.5,17,14,465.8109244,-0.760504202,3.6231715
545999761,387,388,438,487,14,21,552.3445378,-1.869747899,3.318045001
652300689,298,430,425.5,461,10,13,479.9369748,-0.670168067,2.756548859
926190629,351,401,419,419,19,26,431.5546218,-0.302521008,2.961795366
941622213,393,381,429,498,16,16,574.3865546,-2.256302521,2.9271552
985431952,355,388,431.5,469.5,20,21,523.4705882,-1.529411765,3.017528823
